table_name,column_name,data_type,total_count,null_count,not_null_count,nan_count,percent_null,distinct_count,unique_count,not_unique_count,percent_distinct,min_value,max_value,mean,median,std_dev,q1_25,q2_50_median,q3_75,zero_count,percent_zeros,min_length,max_length,avg_length,min_size,max_size,avg_size,most_frequent_value,highest_frequency,lowest_frequency,top_10_values,top_10_frequencies
olist_order_reviews_dataset,review_comment_title,object,99224,87656,11568,87656,88.34153027493349,4527,3763,95461,4.562404257034588,,,,,,,,,0,0.0,1,26,11.945020746887966,1.0,26.0,11.945020746887966,Recomendo,423,1,"['Recomendo', 'recomendo', 'Bom', 'super recomendo', 'Excelente', 'Muito bom', 'Ótimo', 'Super recomendo', 'Ótimo ', 'Otimo']","[np.int64(423), np.int64(345), np.int64(293), np.int64(270), np.int64(248), np.int64(247), np.int64(240), np.int64(217), np.int64(207), np.int64(174)]"
olist_order_reviews_dataset,review_comment_message,object,99224,58247,40977,58247,58.70253164556962,36159,34977,64247,36.44178827702975,,,,,,,,,0,0.0,1,208,68.63767479317666,1.0,208.0,68.63767479317666,Muito bom,230,1,"['Muito bom', 'Bom', 'muito bom', 'bom', 'Recomendo', 'Otimo', 'otimo', 'Ótimo', 'Ótimo ', 'Ok']","[np.int64(230), np.int64(189), np.int64(122), np.int64(107), np.int64(100), np.int64(99), np.int64(96), np.int64(77), np.int64(74), np.int64(72)]"
olist_order_reviews_dataset,review_creation_date,object,99224,0,99224,0,0.0,636,29,99195,0.640973957913408,,,,,,,,,0,0.0,19,19,19.0,19.0,19.0,19.0,2017-12-19 00:00:00,463,1,"['2017-12-19 00:00:00', '2018-08-28 00:00:00', '2017-12-20 00:00:00', '2018-05-19 00:00:00', '2018-05-15 00:00:00', '2018-08-14 00:00:00', '2018-03-29 00:00:00', '2018-05-22 00:00:00', '2018-05-04 00:00:00', '2018-04-12 00:00:00']","[np.int64(463), np.int64(452), np.int64(440), np.int64(434), np.int64(425), np.int64(423), np.int64(421), np.int64(414), np.int64(412), np.int64(408)]"
olist_order_reviews_dataset,review_answer_timestamp,object,99224,0,99224,0,0.0,98248,97303,1921,99.01636700798194,,,,,,,,,0,0.0,19,19,19.0,19.0,19.0,19.0,2017-06-15 23:21:05,4,1,"['2017-06-15 23:21:05', '2018-02-26 15:53:18', '2018-04-07 21:13:05', '2017-02-21 23:30:22', '2017-08-12 14:35:35', '2018-06-17 23:48:04', '2018-02-23 10:58:06', '2017-06-25 14:04:22', '2018-08-06 00:09:52', '2017-08-30 11:18:29']","[np.int64(4), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]"
olist_orders_dataset,order_id,object,99441,0,99441,0,0.0,99441,99441,0,100.0,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,e481f51cbdc54678b7cc49136f2d6af7,1,1,"['e481f51cbdc54678b7cc49136f2d6af7', 'f01059d0d674e1282df4e8fbbe015aa2', 'fbc17f0f2a2125054d5ac5c22d2d5120', '9373150545066777b1cd2bc20e93cf8e', '917399e96f92268dfa2c0351b1b75fba', 'ed1691ef26bd8279bd5946561af1ff0d', 'dc3006aa87f57332aaff74c57a5e094d', 'f53eae1ce47dc68e8da117dd0d7feef1', '94bce2ab6f38b41d29ebbd9d755677bf', '632f22d24375715fbfa8c0ae2e5d35b7']","[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
olist_orders_dataset,customer_id,object,99441,0,99441,0,0.0,99441,99441,0,100.0,,,,,,,,,0,0.0,32,32,32.0,32.0,32.0,32.0,9ef432eb6251297304e76186b10a928d,1,1,"['9ef432eb6251297304e76186b10a928d', '413f7e58270a32396af030a075b924be', 'eb4350b67a0264c67e5e06a038e4afbb', '622b07d262d545d16efbd4363a89cb91', 'c701fbfa77791abd05eef9eacf7ea7a8', '99ce553a3ac79b26416f2adca143760e', '50900ea3519ead20da341b41081736e9', 'a4fe94a051d268fbbe8e4ca932ebc460', 'ba712872211b52224c61d5bedfc1bfcf', 'f8b67d327058afa39382991d7173b1d7']","[np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
olist_orders_dataset,order_status,object,99441,0,99441,0,0.0,8,0,99441,0.008044971390070493,,,,,,,,,0,0.0,7,11,8.98344747136493,7.0,11.0,8.98344747136493,delivered,96478,2,"['delivered', 'shipped', 'canceled', 'unavailable', 'invoiced', 'processing', 'created', 'approved']","[np.int64(96478), np.int64(1107), np.int64(625), np.int64(609), np.int64(314), np.int64(301), np.int64(5), np.int64(2)]"
olist_orders_dataset,order_purchase_timestamp,object,99441,0,99441,0,0.0,98875,98319,1122,99.43081827415251,,,,,,,,,0,0.0,19,19,19.0,19.0,19.0,19.0,2018-04-11 10:48:14,3,1,"['2018-04-11 10:48:14', '2018-07-28 13:11:22', '2017-11-20 10:59:08', '2018-08-02 12:05:26', '2018-08-02 12:06:09', '2018-06-01 13:39:44', '2018-03-31 15:08:21', '2018-02-19 15:37:47', '2018-08-02 12:06:07', '2017-11-20 11:46:30']","[np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]"
olist_orders_dataset,order_approved_at,object,99441,160,99281,160,0.1608994278014099,90733,83688,15753,91.24304864190826,,,,,,,,,0,0.0,19,19,19.0,19.0,19.0,19.0,2018-02-27 04:31:10,9,1,"['2018-02-27 04:31:10', '2017-11-07 07:30:38', '2018-02-27 04:31:01', '2018-02-06 05:31:52', '2017-11-07 07:30:29', '2018-01-10 10:32:03', '2017-12-05 10:30:42', '2018-07-05 16:33:01', '2018-05-15 03:55:59', '2017-11-07 07:30:50']","[np.int64(9), np.int64(7), np.int64(7), np.int64(7), np.int64(7), np.int64(7), np.int64(7), np.int64(7), np.int64(6), np.int64(6)]"
olist_orders_dataset,order_delivered_carrier_date,object,99441,1783,97658,1783,1.7930229985619612,81018,70926,28515,81.47343651009142,,,,,,,,,0,0.0,19,19,19.0,19.0,19.0,19.0,2018-05-09 15:48:00,47,1,"['2018-05-09 15:48:00', '2018-05-10 18:29:00', '2018-05-07 12:31:00', '2018-05-02 15:15:00', '2018-07-24 16:07:00', '2018-05-16 13:44:00', '2018-08-03 15:10:00', '2018-07-17 14:16:00', '2018-08-08 15:01:00', '2018-05-02 12:26:00']","[np.int64(47), np.int64(32), np.int64(21), np.int64(16), np.int64(16), np.int64(15), np.int64(15), np.int64(15), np.int64(15), np.int64(14)]"
